type,title,director_cleaned,cast_cleaned,country_cleaned,release_year,rating,date_added,duration,listed_in,Data_Quality_Notes
TV Show,Luo Bao Bei,,"Hana Burnett, Natalia-Jade Jonathan, Leo Tang, Gok Wan, Ching-He Huang, Pik Sen Lim, David Yip","China, United Kingdom",2018,TV-Y,11-06-2031,1 Season,"British TV Shows, Kids' TV",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Back to School,"Rémy Four, Julien War","Ludovik, Jérôme Niel, Nicolas Berno, Johann Dionnet, Caroline Anglade, Joséphine Draï, Pauline Deshons, Marc Riso, Romain Lancry, Nicolas Lumbreras, Claire Tran, Pitcho Womba Konga",,2019,TV-MA,12-06-2031,84 min,"Comedies, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Feo pero sabroso,Fernando Ayllón,"Iván Marín, Lina Cardona, Carlos Barbosa, Ana Cristina Botero, Karine Amaya, Fabiola Posada, Nelson Polanía, Andrea Carvajal, Rocío Tavera, Alberto Saavedra, Christian López, Jorge Herrera, Ricardo Quevedo",Colombia,2018,TV-MA,13-06-2031,91 min,"Comedies, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Mi amigo Alexis,Alejandro Fernández Almendras,"Luciano González, Alexis Sánchez, Daniel Muñoz, Ignacia Uribe, Marco Baeza, Manuela Oyarzún, Camilo Carmona, Alejandra Yañez, Lorna Campos, Gustavo Becerra",Chile,2019,TV-PG,14-06-2031,102 min,"Children & Family Movies, Comedies, Dramas",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Styling Hollywood,,"Jason Bolden, Adair Curtis",,2019,TV-14,15-06-2031,1 Season,Reality TV,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,The Dark Crystal: Age of Resistance,,"Taron Egerton, Nathalie Emmanuel, Anya Taylor-Joy, Donna Kimball, Mark Hamill, Simon Pegg, Helena Bonham Carter, Lena Headey, Alicia Vikander, Awkwafina, Gugu Mbatha-Raw, Benedict Wong, Caitriona Balfe, Natalie Dormer, Harvey Fierstein, Andy Samberg, Ralph Ineson, Jason Isaacs, Eddie Izzard, Theo James, Hannah John-Kamen, Toby Jones, Keegan-Michael Key, Mark Strong, Sigourney Weaver, Ólafur Darri Ólafsson","United Kingdom, United States",2019,TV-PG,16-06-2031,1 Season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,The Good Bandit,,"Diego Vásquez, Carolina Acevedo, Norma Nivia, Ana María Arango, Álvaro Bayona, Katherine Porto, Tiberio Cruz, Felipe Calero, Jimena Durán, Andrés Toro, Sebastián Sánchez, Isabella Barragán",Colombia,2018,TV-MA,17-06-2031,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,True and the Rainbow Kingdom,,"Michela Luci, Jamie Watson, Anna Claire Bartlam, Dante Zee, Eric Peterson","United States, Canada",2019,TV-Y,18-06-2031,3 Seasons,Kids' TV,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Unbridled,Jota Linares,"Natalia de Molina, Daniel Grao, Natalia Mateo, Ignacio Mateos, Borja Luna, Mario Tardón, Mariana Cordero",Spain,2018,TV-MA,19-06-2031,100 min,"International Movies, Thrillers",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Falling Inn Love,Roger Kumble,"Christina Milian, Adam Demos, Jeffrey Bowyer-Chapman, Anna Jullienne, Claire Chitham, Blair Strang, Jonathan Martin, William Walker, Daniel Watterson, Simone Walker",United States,2019,TV-PG,20-06-2031,98 min,"Comedies, Romantic Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Kardec,Wagner de Assis,"Leonardo Medeiros, Sandra Corveloni, Genezio de Barros, Guilherme Piva, Leonardo Franco, Dalton Vigh, Charles Baudin, Julia Konrad",Brazil,2019,TV-14,21-06-2031,110 min,"Dramas, Faith & Spirituality, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Travis Scott: Look Mom I Can Fly,White Trash Tyler,Travis Scott,United States,2019,TV-MA,22-06-2031,85 min,"Documentaries, Music & Musicals",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Million Pound Menu,,,United Kingdom,2019,TV-MA,23-06-2031,2 Seasons,"British TV Shows, International TV Shows, Reality TV",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Dave Chappelle: Sticks & Stones,Stan Lathan,Dave Chappelle,United States,2019,TV-MA,24-06-2031,66 min,Stand-Up Comedy,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Drink Drank Drunk,Yeung Yat-Tak,"Carlos Chan, Ken Hung, Deep Ng, Michelle Wai, Yee Tong, Felix Lok, Kin-Yan Lee",Hong Kong,2016,TV-MA,25-06-2031,92 min,"Comedies, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,13 Reasons Why: Beyond the Reasons,,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Alisha Boe, Justin Prentice, Brandon Flynn, Miles Heizer, Christian Navarro, Brian Yorkey, Tom McCarthy, Selena Gomez, Mandy Teefey, Jay Asher, Dr. Rona Hu, Dr. Helen Hsu, Dr. Rebecca Hedrick, Alexis Jones, Elaine Welteroth, Julia Bicknell, Dr. Christine Moutier, Nic Sheff, Carrie Goldberg, Anne Winters, Joy Gorman, Brandon Butler, Marissa Jo Cerar, Susanne Timms",United States,2019,TV-MA,26-06-2031,3 Seasons,"Crime TV Shows, Docuseries",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,HERO MASK,,"Yasuyuki Kase, Yuhko Kaida, Junpei Morita, Kentaro Takano, Kouki Uchiyama, Yutaka Aoyama, Takayuki Sugo, Yutaka Nakano, Haruka Shibuya, Tomoyuki Shimura, Yuichi Karasuma, Yukiyo Fujii, Fuminori Komatsu, Tomoko Miyadera",,2019,TV-14,27-06-2031,2 Seasons,"Anime Series, Crime TV Shows, International TV Shows",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Kaake Da Viyah,Rai Yuvraj Bains,"Priti Sapru, Nirmal Rishi, Jordan Sandhu, Prabh Grewal, Karamjit Anmol, Harby Sangha, Gurmeet Sajan, Prince Kanwaljit Singh",India,2019,TV-PG,28-06-2031,133 min,"Comedies, Dramas, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Marriage Palace,Sunil Thakur,"Sharry Mann, Payal Rajput, Jaswinder Bhalla, B.N. Sharma, Harby Sangha, Nirmal Rishi, Anita Devgan, Rupinder Roopi",India,2018,TV-14,29-06-2031,135 min,"Comedies, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Mayday Life,Muh Chen,"Mayday, Huang Bo, Tony Leung Ka-fai","China, Taiwan",2019,TV-PG,30-06-2031,120 min,"International Movies, Music & Musicals",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Saavat,Saurabh Sinha,"Smita Tambe, Milind Shirole, Shwetambari Ghute, Shitanshu Kumar Sharad, Nishikant Rawji, Sanjivani Khanvilkar",India,2019,TV-14,01-07-2031,118 min,"Dramas, Independent Movies, International Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,American Factory,"Steven Bognar, Julia Reichert",,United States,2019,TV-14,02-07-2031,110 min,Documentaries,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Game Over (Hindi Version),Ashwin Saravanan,"Taapsee Pannu, Vinodhini, Parvathi T, Ramya Subramanian, Sanchana Natarajan, Anish Kuruvilla, David Solomon Raja",,2019,TV-MA,03-07-2031,98 min,"Horror Movies, International Movies, Thrillers",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Game Over (Tamil Version),Ashwin Saravanan,"Taapsee Pannu, Vinodhini, Parvathi T, Ramya Subramanian, Sanchana Natarajan, Anish Kuruvilla, David Solomon Raja","India, Turkey",2019,TV-MA,04-07-2031,98 min,"Horror Movies, International Movies, Thrillers",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Game Over (Telugu Version),Ashwin Saravanan,"Taapsee Pannu, Vinodhini, Parvathi T, Ramya Subramanian, Sanchana Natarajan, Anish Kuruvilla, David Solomon Raja",,2019,TV-MA,05-07-2031,98 min,"Horror Movies, International Movies, Thrillers",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,Hyperdrive,,"Rutledge Wood, Mike Hill, Michael Bisping, Lindsay Czarniak",United States,2019,TV-PG,06-07-2031,1 Season,Reality TV,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,The Girl Allergic to Wi-Fi,Jun Lana,"Sue Ramirez, Jameson Blake, Markus Paterson, Angellie Saño",Philippines,2018,TV-MA,07-07-2031,104 min,"International Movies, Romantic Movies",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Our Planet - Behind The Scenes,,David Attenborough,United Kingdom,2019,TV-G,08-07-2031,63 min,Documentaries,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
Movie,Simon Amstell: Set Free,Julia Knowles,Simon Amstell,United Kingdom,2019,TV-MA,09-07-2031,52 min,Stand-Up Comedy,Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
TV Show,45 rpm,,"Carlos Cuevas, Guiomar Puerta, Iván Marcos, Israel Elejalde, Eudald Font, Luis Larrodera, Carmen Gutiérrez, Diana Gómez, Vito Sanz, Marina San José, Pere Ponce, Joan Pera",Spain,2019,TV-MA,10-07-2031,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Missing director names present for some TV shows; dates standardized; extra spaces removed using TRIM;Date format standardized;Country column contains multiple values separated by commas; wrapped text is used;
